text_en,text_ru
"5.3  Protection of electrical equipment against water (see Annex D)
5.3.2 Any electrical equipment which is located less than 1,0 m above the lift pit floor shall be protected to IP67. The socket outlet and lowest lamp of the lighting of the well shall be located at least0,5 m above the highest permissible water level in the pit. See Annex D.
NOTE The highest permissible water level in the pit is set by negotiation and assumed to be no greater than0,5 m.
5.3.3 Electrical equipment in machinery spaces outside of the well shall be protected from malfunction caused by water.
5.3.4 Permanent means, such as measures such as defined in E.2, are strongly preferred and should be provided to effectively prevent water ingress into the lift well. Where such adequate measures are not provided,measures such as in E.3 shall:
― ensure that the water level in the pit will not rise above the level of the fully compressed car buffer;and
― prevent the water level in the pit from reaching equipment which could create a malfunction of the firefighters lift. See 1.2.
5.7.1 Any compartment containing the lift machine and its associated equipment shall be provided with at least the same degree of fire protection as is given to the lift well.
5.7.2 Wherever any machinery space is located outside of the well and outside of a fire compartment it shall be protected with at least the same fire resistance as the fire compartment(s). Any connection(e.g. electrical cables, hydraulic pipes, etc.) between fire compartments shall be likewise protected.
The locations of the lift main switch, emergency and testing panel or machine room should be includedin a label at the fire service access level. See l.8.
5.9 Power supplies for firefighters lifts
5.9.1 The power supply system of the lift, lighting and fire service communication system shall consist of primary and secondary (emergency, standby or alternative) power supplies. The level of fire protection shall be in line with national regulations or requirements and at least equal to that given to the lift well.See 1.2 and Annex C.
5.9.2 The secondary power supply shall be sufficient to run the firefighters lift at the rated load and rated speed for a period equal to the fire resistance structure. The car and well lighting shall be also supplied by secondary power supply.See Introduction.
5.10 Changeover and interruption of electrical supplies
When the power supply is re-established the lift shall become available for service within 1 min. If the lift needs to move to establish its position, it shall not move more than one floor and towards the fire service access level and indicate its position.","5.3 Защита электрического оборудования от воды (см. Приложение D)
5.3.2 Любое электрическое оборудование, расположенное менее чем на 1,0 м выше пола ямы лифта, должно быть защищено до IP67. Розетка и нижняя лампа освещения шахты должны находиться не менее чем на 0,5 м выше максимального допустимого уровня воды в яме. См. Приложение D.
ПРИМЕЧАНИЕ Максимальный допустимый уровень воды в яме устанавливается по согласованию и предполагается, что он не превышает 0,5 м.
5.3.3 Электрическое оборудование в машинных помещениях вне шахты должно быть защищено от неисправностей, вызванных водой.
5.3.4 Постоянные средства, такие как меры, определенные в E.2, предпочтительны и должны быть предоставлены для эффективной защиты от проникновения воды в шахту лифта. Если такие адекватные меры не предусмотрены, меры, такие как в E.3, должны:
― гарантировать, что уровень воды в яме не поднимется выше уровня полностью сжатого буфера кабины; и
― предотвратить подъем уровня воды в яме до оборудования, которое может вызвать неисправность лифта для пожарных. См. 1.2.
5.7.1 Любое помещение, содержащее лифтовую машину и связанное с ней оборудование, должно иметь как минимум такой же уровень огнезащиты, как и шахта лифта.
5.7.2 В любом случае, когда машинное помещение расположено вне шахты и вне огнезащитного отсека, оно должно быть защищено как минимум с тем же уровнем огнестойкости, что и огнезащитные отсеки. Любое соединение (например, электрические кабели, гидравлические трубы и т.д.) между огнезащитными отсеками также должно быть защищено.
Места расположения главного выключателя лифта, панели аварийного и тестирования или машинного помещения должны быть указаны на ярлыке на уровне доступа службы пожарной безопасности. См. 1.8.
5.9 Электроснабжение для лифтов для пожарных
5.9.1 Система электроснабжения лифта, освещения и системы связи службы пожарной безопасности должна состоять из первичных и вторичных (аварийных, резервных или альтернативных) источников питания. Уровень огнезащиты должен соответствовать национальным нормам или требованиям и быть как минимум равным тому, который предоставляется шахте лифта. См. 1.2 и Приложение C.
5.9.2 Вторичный источник питания должен быть достаточным для работы лифта для пожарных с номинальной нагрузкой и номинальной скоростью на период, равный огнестойкости конструкции. Освещение кабины и шахты также должно обеспечиваться вторичным источником питания. См. Введение.
5.10 Переключение и прерывание электроснабжения
Когда электроснабжение восстанавливается, лифт должен стать доступным для обслуживания в течение 1 минуты. Если лифт нуждается в перемещении для установления своего положения, он не должен двигаться более чем на один этаж и в сторону уровня доступа службы пожарной безопасности и указывать свое положение."
"5.4.3 RESCUE FROM OUTSIDE THE CAR 

MEANS OF RESCUE SUCH AS:

A) PORTABLE LADDERS;
B) SAFETY ROPE SYSTEMS, WHERE SAFE FIXING POINTS FOR THE RESCUE MEANS ARE PROVIDED IN THE VICINITY OF EACH LANDING;

MAY BE USED.

NOTE :  HOWEVER, ALL SUCH MEANS COME UNDER THE RESPONSIBILITY OF THE LOCAL AUTHORITIES AND NOT THE LIFT MANUFACTURER.","5.4.3 ЭВАКУАЦИЯ ИЗ-ЗА ПРЕДЕЛОВ КАБИНЫ 

СРЕДСТВА ЭВАКУАЦИИ, ТАКИЕ КАК:

A) ПОРТАТИВНЫЕ ЛЕСТНИЦЫ;
B) СИСТЕМЫ БЕЗОПАСНОСТИ, ГДЕ БЕЗОПАСНЫЕ ТОЧКИ КРЕПЛЕНИЯ ДЛЯ СРЕДСТВ ЭВАКУАЦИИ ПРЕДУСМОТРЕНЫ В БЛИЗОСТИ КАЖДОЙ ЛЕСТНИЧНОЙ ПЛОЩАДКЕ;

МОГУТ БЫТЬ ИСПОЛЬЗОВАНЫ.

ПРИМЕЧАНИЕ: ТЕМ НЕ МЕНЕЕ, ВСЕ ТАКИЕ СРЕДСТВА ПОДЛЕЖАТ ОТВЕТСТВЕННОСТИ МЕСТНЫХ ВЛАСТЕЙ, А НЕ ПРОИЗВОДИТЕЛЯ ЛИФТОВ."
"5.4.4 [SELF-RESCUE INSIDE THE CAR] 
  
THE LENGTH OF THE LADDER ATTACHED TO THE OUTSIDE OF THE CAR SHALL BE SUCH THAT IT CAN REACH THE LANDING DOOR LOCK ON THE UPPER LEVEL WHEN THE CAR IS AT THE SAME HEIGHT AS THE PLATFORM.
HOWEVER, IF THE PLATFORM DOOR LOCK CAN NOT BE REACHED, IT SHALL BE SO ARRANGED THAT IT CAN BE REACHED BY A PERMANENTLY FIXED LADDER TO THE HOISTWAY.","5.4.4 [САМОСПАСЕНИЕ ВНУТРИ КАБИНЫ] 
  
ДЛИНА ЛЕСТНИЦЫ, ПРИКРЕПЛЕННОЙ К НАРУЖНОЙ СТОРОНЕ КАБИНЫ, ДОЛЖНА БЫТЬ ТАКОЙ, ЧТОБЫ ОНА МОГЛА ДОСТИГНУТЬ ЗАМОК ДВЕРИ ПЛАТФОРМЫ НА ВЕРХНЕМ УРОВНЕ, КОГДА КАБИНА НАХОДИТСЯ НА ОДНОМ УРОВНЕ С ПЛАТФОРМОЙ.
ОДНАКО, ЕСЛИ ЗАМОК ДВЕРИ ПЛАТФОРМЫ НЕЛЬЗЯ ДОСТИГНУТЬ, ОНА ДОЛЖНА БЫТЬ УСТАНОВЛЕНА ТАК, ЧТОБЫ ЕЕ МОЖНО БЫЛО ДОСТИГНУТЬ ПОСТОЯННО УСТАНОВЛЕННОЙ ЛЕСТНИЦЕЙ К ШАХТЕ."
750,750
"Automatic change-
over switchgear",Автоматический переключатель переключения
CH-HH+2900mm EXCESS LAYER,CH-HH+2900мм ИЗБЫТОЧНЫЙ СЛОЙ
DEPTH:1400 (min),ГЛУБИНА: 1400 (мин)
DEPTH:2100 (min),ГЛУБИНА:2100 (мин)
Distribution,Распределение
EMERGENCY ELEVATOR SIZE - FOR BED,РАЗМЕР АВАРИЙНОГО ЛИФТА - ДЛЯ КРОВАТИ
EMERGENCY ELEVATOR SIZE - STANDARD USE,РАЗМЕР АВАРИЙНОГО ЛИФТА - ДЛЯ СТАНДАРТНОГО ИСПОЛЬЗОВАНИЯ
"FIGURE B.1 -BASIC LAYOUT OF A SINGLE 
FIREFIGHTERS LIFT AND SAFE AREA","РИСУНОК B.1 - ОСНОВНАЯ СХЕМА ОДНОГО 
ЛИФТА ДЛЯ ПОЖАРНЫХ И БЕЗОПАСНОЙ ЗОНЫ"
"FIGURE B.2- BASIC LAYOUT OF A FIREFIGHTERS 
LIFT IN A MULTIPLE WELL AND SAFE AREA","РИСУНОК B.2 - ОСНОВНАЯ СХЕМА ЛИФТА ДЛЯ ПОЖАРНЫХ 
В МНОГОКОЛОННОМ ШАХТЕ И БЕЗОПАСНОЙ ЗОНЕ"
"FIGURE B.3- BASIC LAYOUT OF A DUAL ENTRY CAR 
IN A MULTIPLE WELL AND SAFE AREAS","РИСУНОК B.3 - ОСНОВНАЯ СХЕМА ДВУХВХОДНОГО АВТОМОБИЛЯ 
В МНОГОКОЛОННОМ ШАХТЕ И БЕЗОПАСНЫХ ЗОНАХ"
FIREFIGHTERS LIFTS TECHNICAL REQUIREMENTS,ТЕХНИЧЕСКИЕ ТРЕБОВАНИЯ К ЛИФТАМ ДЛЯ ПОЖАРНЫХ
"FOR BED
RATED LOAD
1000Kg(min)","ДЛЯ КРОВАТИ
РЕЙТИНГОВАЯ НАГРУЗКА
1000Кг(мин)"
Figure C.1：Example of power supplies for firefighters lifts,Рисунок C.1: Пример источников питания для лифтов для пожарных
Firefighters lifts,Лифты для пожарных
LADDER SUPPLY RANGE,ДИАПАЗОН ПОСТАВКИ ЛЕСТНИЦЫ
NEED TO MODIFY,НЕОБХОДИМО ИЗМЕНИТЬ
"Normal lifts (Not 
required to be fed by
secondary supply）","Обычные лифты (Не 
требуется питание от
вторичного источника）"
Normal supply,Обычное питание
"Other critical
building services","Другие критически важные
строительные услуги"
"Other lifts in
group with 
firefighters lifts","Другие лифты в
gруппе с 
пожарными лифтами"
"Primary supply or 
supplies","Основное питание или 
поставки"
RAIL BRACKET PITCH(FROM TOP TO BOTTOM)  1000X2+1500X4+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=74700,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ)  1000X2+1500X4+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=74700
RAIL BRACKET PITCH(FROM TOP TO BOTTOM)  1250X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=70700,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ)  1250X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=70700
RAIL BRACKET PITCH(FROM TOP TO BOTTOM)  1400X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71000,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ)  1400X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71000
RAIL BRACKET PITCH(FROM TOP TO BOTTOM)  850X2+1500X4+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=74400,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 850X2+1500X4+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=74400
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1100X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X9=68400,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 1100X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X9=68400
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1250X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=60700,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 1250X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=60700
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1250X2+1500X5+1000+1500X6+1000+1500X6+1200+1500X3+1000=36700,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 1250X2+1500X5+1000+1500X6+1000+1500X6+1200+1500X3+1000=36700
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1300+1500X2+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71000,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 1300+1500X2+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71000
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1300X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=70800,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 1300X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=70800
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1400X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=61000,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 1400X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=61000
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 950X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X9=68100,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 950X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X9=68100
RAIL BRACKET PITCH(FROM TOP TO BOTTOM)1300+1500+1000+1500X6+1000+1500X6+1200+1500X9=37500,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ)1300+1500+1000+1500X6+1000+1500X6+1200+1500X9=37500
RAIL PITCH(FROM TOP TO BOTTOM) 5000 X 6 = 30000,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 5000 X 6 = 30000
RAIL PITCH(FROM TOP TO BOTTOM) 5000 X 7 = 35000,УГОЛОК РЕЛЬСА (СВЕРХУ ВНИЗ) 5000 X 7 = 35000
"RATED LOAD
630Kg(min)","НАГРУЗКА
630Кг(мин)"
"Secondary supply or
supplies","Вторичное питание или
поставки"
Supply protected against the effect of fire,Питание защищено от воздействия огня
"[CONSTRUCTION SECTION / LOCATION]

<LADDER PART OF HOISTWAY>
\~\~\~\~ FIXED LADDERS IN ACCORDANCE WITH 5.2.2.5 B), C) AND E) OF EN 81-20:2014 , LOCATED WITHIN 0,75 M FROM THE SILL OF THE LANDING ENTRANCE ABOVE.","[РАЗДЕЛ СТРОИТЕЛЬСТВА / МЕСТОПОЛОЖЕНИЕ]

<ЧАСТЬ ЛЕСТНИЦЫ ЛИФТОВОГО ШАХТА>
\~\~\~\~ ФИКСИРОВАННЫЕ ЛЕСТНИЦЫ В СООТВЕТСТВИИ С 5.2.2.5 B), C) И E) EN 81-20:2014, РАСПОЛОЖЕННЫЕ В 0,75 М ОТ ПОДА ЛИФТОВОГО ВХОДА ВВЕРХУ."
